Inter-Arrival Time (Minutes)
7.0
1.0
14.0
8.0
5.0
15.0
12.0
9.0
6.0
5.0
7.0
11.0
5.0
15.0
30.0
8.0
32.0
9.0
10.0
6.0
13.0
9.0
28.0
25.0
40.0
15.0
19.0
11.0
7.0
8.0
15.0
40.0
14.0
11.0
5.0
14.0
8.0
13.0
5.0
25.0
20.0
2.0
7.0
18.0
9.0
