Arrival_Time
8:00
8:30
8:45
9:05
9:30
9:45
10:00
10:15
10:40
11:05
11:30
11:45
12:00
12:15
12:30
12:45
13:00
13:25
13:50
14:15
14:40
15:05
15:30
15:55
16:20
16:45
